Code,longitude,latitude
AMA1,-77.37629852,-6.55045616
AMA2,-78.28258409,-5.2163067
AMA3,-78.28738659,-5.19378771
AMA3,-78.28738659,-5.19378771
AMA4,-77.82368,-5.81877
AMA5,-77.60754,-6.22235
AMA6,-78.29039178,-5.212209
AMA7,-78.288,-5.201
API1,-73.83016029,-13.44984759
API13,-72.91623278,-13.65346304
API138,-73.18107,-14.09059
API14,-73.45626346,-13.5656813
API140,-73.14015085,-14.1414594
API141,-72.85462,-13.78921
API142,-73.03344634,-13.88830427
API143,-73.18459948,-14.0549148
API144,-72.85462,-13.78921
API15,-73.81027,-13.49125
API16,-72.36128,-13.76225
API17,-72.06182,-14.08446
API18,-73.19035,-13.92286
API3,-73.80833457,-13.49041373
API9,-73.352477,-13.58511052
AYA1,-73.95713288,-13.04096388
AYA10,-73.850699,-13.39931144
AYA11,-73.84187339,-13.42376255
AYA13,-73.89748,-13.94763
AYA14,-73.91225,-13.92929
AYA15,-73.86624,-13.4263
AYA4,-73.91055,-13.02504
AYA12,-73.96170262,-13.04197679
AYA6,-73.63004,-13.2484
AYA7,-73.628092,-13.23195158
AYA8,-73.79673436,-13.74886503
AYA9,-73.79673432,-13.74887407
CAJ1,-78.67991,-6.46456
CAJ2,-78.85663,-6.40509
CAJ3,-78.77091,-6.4017
CAJ4,-78.95393,-5.16892
CUS1,-72.32849427,-13.44333504
CUS2,-72.46820488,-13.46960644
CUS3,-72.498639,-13.508599
CUS4,-72.44719422,-13.48097578
CUS5,-72.57057857,-13.52013877
CUS6,-72.24618,-13.65257
CUS8,-72.50798,-13.49171
HUA1,-75.95791857,-9.19178344
HUA2,-76.25751126,-10.22288276
HUA3,-76.06577673,-9.96873876
HUA4,-76.00646848,-9.11973336
LMA10,-77.27840376,-11.58834583
LMA12,-76.85,-12.1833
LMA4,-76.66797959,-12.66557638
LMA5,-77.81598,-10.64148
LMA6,-77.45938,-11.05553
LMA8,-77.14,-11.47
LR1,-73.30289215,-4.241265217
LR2,-73.19861147,-4.290330531
LR3,-73.21845956,-4.306649091
LR4,-73.20441225,-4.21052333
LR6,-73.36840452,-3.772111824
MDD130,-70.65340994,-13.00944999
MDD134,-70.37020999,-13.04941993
MDD135,-70.362097,-13.086141
MDD136,-70.370156,-13.049268
UCA1,-75.79494,-9.14661
UCA2,-75.16383651,-8.43186627
UCA3,-75.12466662,-8.37288726
